company,end,operating_income
DoorDash,2018-12-31,-210000000
DoorDash,2019-12-31,-616000000
DoorDash,2020-12-31,-436000000
DoorDash,2021-12-31,-452000000
DoorDash,2022-12-31,-1124000000
DoorDash,2023-12-31,-579000000
DoorDash,2024-12-31,-38000000
DoorDash,2025-12-31,723000000
Instacart,2021-12-31,-86000000
Instacart,2022-12-31,62000000
Instacart,2023-12-31,-2142000000
Instacart,2024-12-31,489000000
Instacart,2025-12-31,498000000
Uber,2017-12-31,-4080000000
Uber,2018-12-31,-3033000000
Uber,2019-12-31,-8596000000
Uber,2020-12-31,-4863000000
Uber,2021-12-31,-3834000000
Uber,2022-12-31,-1832000000
Uber,2023-12-31,1110000000
Uber,2024-12-31,2799000000
Uber,2025-12-31,5565000000
